,name,price,rating,about
0,Suntory Torys Classic,£30.45,3.5(2 Reviews),"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
1,Nikka Days,£31.95,5(1 Review),"A vibrant addition to the Nikka range, Nikka Days is a bright and vivacious blend of malt and grain whiskies from distilleries including both Yoichi and Miyagikyo. Its medium body hosts an array of floral and zesty flavours which mingle effortlessly with an underlying vanilla-toffee depth and a light, distant touch of breezy peat smoke. A fresh and delicate whisky, Days makes a delicious sipping dram or sits beautifully in a refreshing highball.Tasting Notes (1) "
2,Akashi Blended Whisky,£32.75,3.5(19 Reviews),"A lesser-known whisky outside the local Japanese market, this version of Akashi is specially produced for the European market using a mixture of Japanese and foreign-made malt and grain whisky to produce a reasonably priced everyday blend."
3,Tokinoka White Blended Whisky,£32.95,,"A Japanese blended whisky from White Oak distillery, Tokinoka White has delicate white chocolate and floral notes, alongside maple syrup, green apples and fiery pink peppercorn."
4,Hatozaki Blended Japanese Whisky,£33.95,3(3 Reviews),"Named after the oldest stone lighthouse in Japan, Hatozaki blended whisky is made at Kaikyo distillery. Matured in a variety of casks, including sherry, bourbon and Mizunara oak it has a complex character, with notes of cherry blossom, pears and caramel throughout the palate."
5,Suntory TokiGlass Pack,£34.95,,"A lovely gift set from Suntory, including a bottle of Toki whisky and a stylish highball glass. Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.'Toki' means 'time' in Japanese. Toki has a different composition to its sister blend, Suntory Hibiki, and its main components are Hakushu single malt and Chita grain whisky."
6,Mars Kasei Blended Whisky,£42.95,5(1 Review),"Mars Kasei blended whisky is a soft, rounded whisky from Shinshu distillery in Japan. The nose is full of gentle white flower aromas and notes of sweet, ripe fruits, while the palate offers notes of warm spices, green apples, white grapes and honey."
7,Nikka From the Barrel,£42.95,4.5(107 Reviews),"Nikka from the Barrel is big-boned and bursting with character. Not averse to a drop of water, either. A real star, winning top prize in its category at the World Whisky Awards in 2007 and 2010.Japanese whisky producer Nikka was founded in 1934 and has become Japan's second largest distiller, producing a large range of single malts and blended whiskies between its two distilleries - Yoichi and Miyagikyo.Tasting Notes (2) "
8,Togouchi Premium Blended Whisky,£44.95,4.5(10 Reviews),"Although blended in Japan, Togouchui Premium Whisky is a blend of Scottish malt and Canadian grain. Aged in the town of Togouchi in a tunnel that was originally built for a railway but never used - intriguing!"
9,Nikka Pure Malt Red,£46.45,4.5(3 Reviews),"Blended with Japanese malt from Nikka's Yoichi and Miyagikyo distilleries, this is clean, fruity and very easy to drink.Tasting Notes (2) "
10,Hatozaki Pure Malt Japanese Whisky,£47.45,5(2 Reviews),"Named after the oldest stone lighthouse in Japan, Hatozaki Pure Malt Japanese whisky is a sweet, smoky blended malt whisky from Kaikyo distillery. Rich aromas of dried fruits, toffee apples and summer blossoms fill the nose, and the palate offers notes of sweet honey, delicate wood smoke and sultanas."
11,Tokinoka Black Blended Whisky,£47.95,,"Created by Master Blender Akito Ueda, this Japanese blended whisky from White Oak distillery is a variation of the original Tokinoka blend. A mix of 50% malt whisky and 50% grain whisky it has been aged in three different types of cask – ex-bourbon, Xeres and virgin oak casks. A richer, fruitier blend than the original, Tokinoka Black has notes of pineapples, mangoes and toasted oak, building into spicier notes of ginger, black pepper and cinnamon. The finish is long and lingering, with notes of vanilla and honey."
12,Suntory Chita Whisky,£49.95,4.5(37 Reviews),"Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice."
13,Super NikkaRare Old,£50.25,4.5(10 Reviews),Super Rare Old is a famous Japanese blend from the Nikka company. This contains a high proportion of malt from the Yoichi and Miyagikyo distilleries.
14,Nikka Coffey Grain Whisky,£54.95,4.5(51 Reviews),"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.Tasting Notes (2) "
15,Enso Japanese Whisky,£55.95,,"A delicate Japanese blended whisky from Kiyokawa, in Kanagawa Prefecture, Enso has been distilled using pot stills and matured in American oak casks. Aromas of lemon blossom, orange zest, vanilla, caramel and soft smoke fills the nose, complemented by notes of toasted oak, crunchy apples, cinnamon, woody vanilla and honeysuckle on the palate. Enjoy this whisky neat or as part of your favourite cocktail."
16,Mars Maltage Cosmo,£55.95,4(8 Reviews),"Cosmo from Mars Maltage is a blended malt that includes whisky from Shinshu in Japan. A big hit when released at the 2015 Tokyo International Bar Show, this is a permanent addition to the fledgling distillery's range.Tasting Notes (1) "
17,Nikka Coffey Malt Whisky,£58.45,4.5(39 Reviews),"Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Tasting Notes (1) "
18,Suntory Kakubin Yellow Label,£59.45,4.5(7 Reviews),"Kakubin Yellow Label is Suntory's flagship blended whisky. Produced since 1937, its name means 'square bottle'. A blend of bourbon-cask whisky from Yamazaki and Hakushu, this is a classic example of lighter Japanese whisky and is great in a highball with soda."
19,Nikka Taketsuru Pure Malt2020 Release,£59.95,5(1 Review),"The 2020 release of Nikka Taketsuru blended malt whisky is a smoky, full-bodied whisky with notes of rich oak spice, aromatic peat and sweet flowers throughout the palate."
20,Suntory Hakushu Distiller's Reserve,£66.95, 4.5(27 Reviews),"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.Tasting Notes (1) "
21,Suntory Yamazaki Distiller's Reserve,£68.95,4.5(52 Reviews),"A fresh and fruity whisky from Yamazaki, full of red fruit and a touch of sherry cask. It's also got some mizunara (Japanese oak) matured whisky in the mix, which comes through as a complex spicy and almost incense-like note. A well put together and deep dram.Tasting Notes (1) "
22,Ichiro's Malt & Grain Japanese Whisky,£69.95,5(1 Review),"A blend from the king of independent Japanese distillers, Ichiro Akuto. In addition to whisky from his own Chichibu distillery, it also includes whiskies from America, Canada, Scotland and Ireland. As it says on the label – 'This is worldwide blended whisky'."
23,Suntory Hibiki Harmony,£71.45,4(55 Reviews),"Hibiki Japanese Harmony is a blend of Japanese malt and grain whiskies from Yamazaki, Hakushu and Chita. Presented in the brand's trademark 24-faceted bottle representing the Japanese seasons, this is light, approachable and moreish with enticing notes of orange peel and white chocolate.Tasting Notes (2) "
24,Akashi Single Malt Whisky,£73.59,5(1 Review),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt."
25,Nikka Miyagikyo Single Malt,£74.95,4.5(9 Reviews),"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.Tasting Notes (2) "
26,Yamazakura 9638 Year Old,£77.95,5(2 Reviews),"A subtly spicy blended whisky from Japan, with notes of orchard fruits and caramel."
27,Togouchi Whisky 12 Year Old,£80.95,4(1 Review),"Togouchi's ageing warehouse must be one of the world's most unusual – it is an old railway tunnel in the eponymous town that was never used. This is the 12 year old, a blend of Scottish malt and Canadian grain that's fruity and citrus-rich."
28,Kaiyo Mizunara Oak,£82.95,5(2 Reviews),"Kaiyo's stock of Mizunara oak casks is its pride and joy. Known to impart a subtle and unusual collection of aromas and flavours to whisky during maturation, it's this wood which is often credited with setting Japanese whisky apart. Kaiyo doubles down on its cask maturation, sending the full casks off to sea for months at a time, allowing the natural motion to ensure constant movement, and thus contact between whisky and wood."
29,Nikka Taketsuru Pure Malt,£84.95,4.5(14 Reviews),"Taketsuru's no-age-statement blended malt contains a high percentage of malt from Miyagikyo, with the reminder coming from Yoichi. Aged on average for around 10 years in a variety of different cask types, including some sherry wood for extra richness.Tasting Notes (2) "
30,Mars Cosmo Wine Cask Finish,£89.95,,"The 2020 release of Mars Maltage Cosmo has been finished ex-wine casks, creating notes of blackberries, apricots and caramel throughout the palate."
31,Nikka Pure Malt Black,£89.95,4.5(11 Reviews),A storming example of what Japanese whisky is truly capable of. A previous batch was awarded a massive 95 points by Jim Murray in his Whisky Bible.Tasting Notes (2) 
32,Kaiyo Peated Mizunara Oak,£99.95,,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
33,Ichiro's Malt Wine Wood Reserve,£105,5(1 Review),"Ichiro Akuto, founder of Japan's Chichibu distillery, is not only one of the most respected distillers in the country, but he's also a master whisky blender. His Wine Wood Reserve is a blended malt containing Japanese whiskies from Chichibu that have been finished in red wine casks and Scottish whisky. The result is a rich and jammy dram with lots of complexity."
34,Nikka Tailored,£110,,"Introduced to replace the beloved Nikka 12 Year Old, Tailored is a blend including malt whisky from Nikka's Yoichi and Miyagikyo distilleries and its Coffey Still grain. The whisky balances soft fruity notes with bitter notes of dark chocolate and citrus zest.Tasting Notes (1) "
35,Kaiyo Mizunara Oak Cask Strength,£110,5(3 Reviews),"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
36,Ichiro's Malt Double Distilleries(46.5%),£115,4.5(2 Reviews),"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram."
37,Ichiro's Malt MWRMizunara Wood Reserve,£115,5(4 Reviews),"The return of a legendary whisky from Ichiro Akuto, formerly of Hanyu distillery and now founder and distiller at Chichibu. This is a blend of malt whiskies from his extensive stocks, including whisky matured in mizunara – fragrant Japanese oak. Outstandingly rare, with only very limited amounts available to the whisky industry to use to make casks, mizunara is uniquely fragrant and adds a refined and almost incense-like air to this whisky."
38, Nikka Pure Malt White,£125,4.5(3 Reviews),"A very endearing, subtle malt with a strong whiff of peat, this is a curious but superb marriage of different Japanese malts – and it really delivers. Brilliant.Tasting Notes (1) "
39,The Nikka 12 Year Old,£125,5(16 Reviews),"A blend including whisky from Nikka's two distilleries, Yoichi and Miyagikyo, The Nikka 12 is a well-balanced blend. There's green-apple freshness, rich fruitcake spiciness, butterscotch and some green-peppercorn punch. Another winner from Nikka.Tasting Notes (2) "
40,Suntory Yamazaki 12 Year Old,£135,4.5(89 Reviews),"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.Tasting Notes (3) Yamazaki 12 year Old is a pioneering malt in Japan, for which Suntory deserve great credit. In its early days, it was rounded and delicate...now it is more intense, confident and elegant. 8/10. Michael Jackson, Whisky Magazine, Oct 2002"
41,Akashi 5 Year OldSherry Cask Half Litre,£150,5(2 Reviews),"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
42,Nikka Coffey Malt Whisky Show Package1 Ticket,£165,,"A brilliant bundle that includes a bottle of Nikka Coffey Malt Whisky, a pair of tumblers, a Whisky Exchange tasting notes book and a ticket for Whisky Show 2021 on Sunday 3 October 2021.Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
43,Togouchi 15 Year Old,£175,5(1 Review),"The 15-year-old version of Togouchi's blended whisky. A combination of whiskies from Canada and Scotland, which are blended together and aged in a Japanese railway tunnel. Nutty, chocolatey and spicy."
44,Suntory Hakushu 12 Year Old,£175,4.5(32 Reviews),"A perennial favourite and a must-try for anyone interested in discovering Japanese whisky. Hakushu is owned by Suntory, founders of the first Japanese distillery, Yamazaki. The original Hakushu distillery was built in 1973, with another distillery building called Hakushu Higashi (east) added in 1981.Tasting Notes (3) "
45,Ichiro's Malt & GrainWorld Blended Whisky 2020 Blue Label,£185,,"A limited-edition Ichiro's Malt & Grain from Chichibu, released in 2020, this world blended whisky has been made with a combination of casks from around the globe, creating a sweet, spicy and complex character. The palate offers notes of caramel, toffee, shortbread biscuits, lemon curd, pine needles and sweet blossoms that linger in the finish."
46,Nikka Coffey Malt Whisky Show Package2 Tickets,£260,,"A brilliant bundle that includes a bottle of Nikka Coffey Malt Whisky, a pair of tumblers, a Whisky Exchange tasting notes book and a pair of tickets for Whisky Show 2021 on Sunday 3 October 2021.Previously only released as part of single casks, Nikka decided to add their Coffey Malt to their core range in 2014. Distilled in a Coffey still normally used for grain whisky production, the malt is delightfully fruity and spicy.Please noteThis product is a bundle offer. It will be displayed in the checkout with the special discounted price, and the components shown below as free. Please be aware that there are no extra free items with these bundles."
47,Ichiro's Malt & GrainWorld Blended Whisky 2018 Limited Edition,£275,,"A limited-edition World blended whisky from Chichibu, made with a selection of whiskies from Japan and from around the world."
48,Suntory Hakushu 10 Year Old,£325,5(1 Review),"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
49,Suntory Yamazaki 10 Year OldBot.2000s,£450,,"An introductory malt from Yamazaki, Japan's oldest distillery (founded in 1923). This is mild-mannered, clean, sweet malt, charming and very accessible - Speyside fans looking to try a Japanese malt should start here.Tasting Notes (2) "
50,Nikka Taketsuru 17 Year Old,£450,5(5 Reviews),"Another winner from Nikka's Taketsuru range. This was named for the founder of the company, Masataka Taketsuru and is a big, bold full-bodied vatted whisky of truly exceptional depth, grace and balance.Tasting Notes (6) "
51,Nikka Miyagikyo 10 Year Old,£450,,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.Tasting Notes (2) "
52,Suntory Hibiki 12 Year OldHalf Litre,£450,5(13 Reviews),"A 50cl bottle of Suntory's excellent Hibiki 12yo, the starting point of the Hibiki range. It's a fantastic example of a Japanese style blended whisky: sweet and perfumed. Along with grain from Chita and malt from Yamazaki they use some whisky matured in plum wine casks in the mix."
53,Chichibu The Peated 2012Bot.2016,£500,5(5 Reviews),"The fourth release of peated whisky from Ichiro Akuto's Chichibu distillery. Distilled in 2012 from heavily peated malt, it's been bottled at 54.5%, giving a bold and intense smoky flavour, with spice and sweetness."
54,Chichibu On The WayBot.2015 Ichiro's Malt,£500,4.5(2 Reviews),"The 2015 release of Chichibu On The Way, a series charting the fledgling distillery's progress. This is a multi-vintage vatting of whisky distilled at various times since they opened in 2008, including some of their oldest. Surprisingly complex for a young whisky, it shows the skill of distiller Ichiro Akuto and his team.Tasting Notes (1) "
55,Nikka Yoichi 10 Year Old,£500,4.5(9 Reviews),"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.Tasting Notes (2) "
56,Nikka Miyagikyo 12 Year Old,£550,,"Full-bodied, fruity and complex, with some sherry character, hints of toffee and some polished malt. Deservedly popular.Tasting Notes (2) "
57,Suntory Hibiki 17 Year Old,£550,4.5(37 Reviews),"A fantastic Japanese blend, made with aged malt and grain whiskies from Suntory's three distilleries. Spicy and sophisticated, this is great for catching people out at blind tastings. Recently awarded a Gold 'Editor's Choice' award from Whisky Magazine and picked up the top prize in its category at the World Whisky Awards 2010.Tasting Notes (5) "
58,Suntory Hakushu 18 Year Old,£600,4.5(9 Reviews),"A massive step up in quality from the standard Hakushu 12 yrs, this 18yo is amazingly well-defined (as we've come to expect from Japanese whisky) with deliciously rounded fruit and cereal flavours, at times surprisingly reminiscent of the finest Irish potstill whisky (eg Redbreast 15yo).Tasting Notes (1) "
59,Suntory Hibiki 12 Year Old,£700,5(43 Reviews),"A stunning 12 year-old blend from Hibiki, some of the whisky has been part-matured in plum liqueur casks. Lovely malt from Hakushu and Yamazaki, plus some aged grain from Chita, this terrific Japanese blend picked up the top prize in its category at the World Whisky Awards 2010.Tasting Notes (1) "
60,Nikka Yoichi 12 Year Old,£750,4(3 Reviews),A top-quality Japanese single malt whisky. This is absolutely superb stuff and must be tried by serious whisky aficionados.Tasting Notes (1) 
61,Suntory Yamazaki 18 Year Old,£795,5(39 Reviews),"A wonderful example of what Japanese whisky is capable of. We absolutely love this. Extremely smooth, with great complexity and a lovely balance of fruit, silky malt and a touch of smoke.Tasting Notes (2) "
62,Nikka Miyagikyo 15 Year Old,£800,4(1 Review),A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.
63,Suntory Hibiki 21 Year Old,£800,5(4 Reviews),"Another hit for Suntory, this Hibiki 21 merited 93 points from Jim Murray in 2009, while Dr. Whisky called it 'Unbelievably balanced, and dangerously drinkable.'Please noteThere are two different styles of box for this product and we cannot guarantee which version customers will receive."
64,Nikka Taketsuru 21 Year Old,"£1,000",,"February 2010 marked an extraordinary achievement for Nikka, as their Taketsuru 21yo scooped the title of 'World's Best Blended Malt Whisky' at the World Whiskies Awards for the third time in four years. Bravo, Nikka!."
65,Nikka Taketsuru 21 Year Old80th Anniversary,"£1,200",,"Released to celebrate the 80th anniversary of Nikka, this special edition of Taketsuru 21 Year Old is non-chill filtered, which has resulted in a welcome raise in abv to 48%. Nikka's blended malt is named after Nikka's founder – Masataka Taketsuru."
66,Yamazaki Bourbon Barrel,"£1,500",,"One of just 3,000 bottles released to the European market, this is a honeyed single malt with notes of vanilla, cinnamon and walnut. The whisky in this bottling has been aged in ex-bourbon barrels for between 10 to 15 years."
67,Suntory Yamazaki PuncheonBot.2011,"£1,500",,"A special edition Yamazaki from Suntory, aged in a 480-litre puncheon cask, which allows the whisky to mature much more slowly than the standard 230-litre hogshead. There's no age statement, but at 48% and unchillfiltered, it's likely to be pretty tasty."
68, Ichiro's Malt & GrainJapanese Blended Whisky 2020,"£1,750",,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate."
69,Ichiro's Malt & GrainJapanese Blended Whisky 2019,"£1,750",,"A blended whisky from the king of independent Japanese distillers, Ichiro Akuto, bottled in 2019. The nose is full of citrus and peach aromas, with wafts of vanilla in the background, while the palate offers notes of caramel and toasted oak as well."
70,Hanyu 2000Cask #359 No 1 10th Anniversary,"£1,750",,
71,Hanyu 2000 Final Vintage15 Year Old Ichiro's Malt,"£1,750",,A special release from Ichiro Akuto - a single cask bottling of whisky from the final year of Hanyu distiller's operation. Bottled at 15 years of age and at cask strength without colouring or chill-filtration. A little slice of distilling history.Tasting Notes (1) 
72,Karuizawa Spirit of Asama48%,"£1,750",,"A TWE exclusive release of Karuizawa, part of a vatting of 77 sherry casks bottled at 48% to produce a well rounded and affordable example of the distillery's character. The casks used for Spirit of Asama were filled in 1999 & 2000.Tasting Notes (1) "
73,Chichibu 2013 Sherry Oloroso CaskVelier 70th Anniversary,"£1,800",,"A 2013 Chichibu single malt, matured in a first-fill sherry hogshead before being bottled in 2017 in celebration of bottler Velier's 70th anniversary. This limited-edition bottle features Japanese calligraphy artist Jun Inoue's painting The Red Point on its label."
74,SMWS 116.4 (Yoichi)1988 13 Year Old,"£2,000",,
75,Karuizawa Spirit of Asama55%,"£2,000",4(3 Reviews),"A exclusive bottling of whisky from Karuizawa for TWE, part of a vatting from about 77 casks and bottled at 55%. It's a different prospect to the various single casks that shoot off the shelves, offering a great tasting overview of the distillery's character unencumbered by decades of sherry-cask maturation.Tasting Notes (1) "
76,Hanyu 2000Cask 362 TWE Bottling,"£2,500",,"Bottled exclusively for The Whisky Exchange, this Hanyu was distilled in the final year before the distillery closed. Bottled in 2016 and previewed at The Whisky Show to great acclaim, this is a chance to own a piece of Japanese whisky history.Tasting Notes (1) "
77,Chichibu 2010Cask #1000,"£3,250",,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks."
78,Nikka Yoichi 198723 Year Old Cask #112814 LMDW,"£3,500",,
79,Nikka Yoichi 198718 Year Old Cask #254816,"£3,500",,
80,Nikka Taketsuru 25 Year OldPure Malt,"£4,000",,"A rare expression from Nikka's Taketsuru range. First introduced in Japan in 2012, this has now reached our shores, with just 120 bottles for the whole of Europe. Made up of malts aged for at least 25 years from Yoichi and Miyagikyo distilleries, this is sweet and rich with hints of both sherry and peat.Tasting Notes (1) "
81,Suntory Hakushu 25 Year Old,"£4,000",,"An extremely rare and highly sought-after addition to the Hakushu range, this 25 year-old was rated 93/100 by Jim Murray, who called it ""a malt which is impossible not to be blown away by"".Tasting Notes (1) "
82,Nikka Miyagikyo 50th AnniversaryLimited Edition 2019,"£4,500",,"A limited-edition Japanese single malt released to celebrate the 50th anniversary of Miyagikyo Distillery, made with a combination of casks from across these five decades."
83,Suntory Yamazaki MizunaraBot.2011,"£5,000",,
84,Nikka Yoichi 50th AnniversaryLimited Edition 2019,"£5,000",,"A limited-edition Yoichi single malt, released to celebrate the 50th anniversary of Miyagikyo Distillery, made with a combination of casks from across these five decades."
85,Suntory Yamazaki Mizunara 18 Year Old2017 Edition,"£5,000",,"An incredibly rare and sought-after release from pioneering Japanese distiller Yamazaki. Created by master blender Shinji Fukuyo using Yamazaki’s decades of experience with mizunara – Japanese oak – and whiskies from 18 to 50 years of age, this very limited release showcases the wood’s unique effect on maturing spirit. Layers of exotic spices and incense notes mingle with fruit: a masterclass in Japanese whisky.Tasting Notes (1) “I wanted to reveal the whisky’s soul that is the Art of Mizunara — a heightened sense and awakened palate engaged through aromas and flavors never known before. Encountering it should be a moment of epiphany.”. Shinji Fukuyo, Chief Blender, Suntory"
86,SMWS 116.1 (Yoichi)1986 16 Year Old,"£5,000",,
